id,character,title,body_text,choice_a_label,choice_a_flavor,a_ind,a_civ,a_gov,a_inn,choice_a_outcome_title,choice_a_outcome_text,choice_b_label,choice_b_flavor,b_ind,b_civ,b_gov,b_inn,choice_b_outcome_title,choice_b_outcome_text
evt_marcus_01,stk_marcus,Just a Small Data Adjustment,Retention could double if we… reinterpret user consent. Relax - everyone does it. We’ll call it ‘industry standard’.,Do it.,Growth first.,1,-1,0,0,"Your KPIs explode. Somewhere, a privacy advocate refreshes Twitter.","Consent becomes easier to obtain and harder to notice. Fewer users opt out, and engagement metrics improve across the board. Internally, the reinterpretation quickly becomes routine, referenced as standard practice rather than a deliberate choice. Outside the company, nothing visibly changes, but the gap between what users expect and what the system actually does widens. Growth accelerates, while trust erodes quietly, without triggering a clear moment of backlash.",No.,We keep consent clean.,0,2,0,0,"Marcus frowns. ""Ethics don’t show up in revenue reports.""","The system asks more questions and moves more slowly. Some users disengage when faced with repeated consent prompts, and growth remains modest. Internally, teams adjust their ambitions, designing features that require less data or scale less aggressively. The system remains easier to defend and easier to explain, but its limits become more visible. Ethical clarity stabilizes trust, even as Marcus notes that the numbers fail to reflect it."
evt_marcus_02,stk_marcus,Pace Check,The report shows rising burnout among engineers. But deadlines don’t care how tired people are. Markets don’t either.,Push the timeline.,We deliver.,2,0,0,-1,Velocity holds. Creativity thins at the edges.,"Deadlines are met, and releases arrive on schedule. The system continues to improve, but changes become smaller and safer. Your engineers rely more on existing patterns and avoid risky ideas that might slow things down. Burnout doesn’t cause immediate failure, but it narrows the range of solutions the team is willing to explore. Progress remains visible, while originality gradually fades from the roadmap.",Slow down.,We protect the team.,-1,0,0,2,"Marcus nods once. ""Rest is expensive.""","Development slows, and some milestones are quietly revised. But your engineers recover enough space to question assumptions and revisit earlier design decisions. So, experiments become more ambitious, but results arrive later and less predictably. From the outside, momentum appears to weaken. Inside the team, however, the system begins to evolve in ways that are harder to measure but more resilient over time."
evt_marcus_03,stk_marcus,Engagement by Design,These are engagement loops. Nudges. Defaults. Nothing illegal. Nothing obvious. People like being guided. We’d just help them choose faster.,Implement the nudges.,Engagement first.,2,-1,0,0,Usage rises. Users stay longer — often without knowing why.,"Subtle design choices begin to shape user behavior. Decisions feel faster and easier, and overall usage time increases. Most users experience the system as more intuitive, without noticing how strongly defaults and prompts guide their actions. Engagement metrics improve, while the line between assistance and influence becomes harder to define. The system works better by caring less about whether users understand how it works.",Explain the system.,They deserve to know.,0,2,0,0,"Marcus raises an eyebrow. ""You really don’t like asymmetry, do you?""","Explanations slow interactions and introduce friction into previously seamless flows. Some users appreciate the transparency, while others disengage when confronted with complexity. Engagement drops slightly, but expectations become clearer on both sides. The system becomes easier to trust and harder to optimize, as influence is replaced with consent that must be actively maintained."
evt_marcus_04,stk_marcus,The Feature Creep Question,"There’s talk of cutting a feature because users might misuse it. Why would we do that? If potential misuse is the bar for removal, innovation doesn’t get off the ground.",Keep the feature.,Choice is the user’s.,0,-1,-1,1,Flexibility increases. Responsibility becomes abstract.,"The system gains flexibility, and advanced users find new ways to adapt it to their needs. At the same time, edge cases multiply, and unintended uses become harder to predict. When harm occurs, responsibility is difficult to locate, spread across design, deployment, and user choice. Innovation continues, but governance shifts from prevention to explanation after the fact.",Remove it.,We design with intent.,0,2,0,-1,"Marcus shrugs. ""Constraints are very… European.""","The system becomes more constrained, and certain use cases disappear entirely. Potential misuse is reduced, but so is the range of experimentation available to users and developers. Decisions feel more deliberate, but also more paternalistic. Innovation slows, even as accountability becomes clearer and easier to defend."
evt_marcus_05,stk_marcus,The Data Revenue Question,"Right now, our only income comes from the product. Subscriptions. Licenses. Usage fees. However, given the fierce competition, it is important to have additional financial resources. But we also collect something else: how people use the system. We can package these usage patterns and sell them to partners - companies, researchers, advertisers. No names. No profiles. But it’s still our users’ behavior.",Sell aggregated usage data,We monetize insight.,2,-1,0,0,New revenue streams open fast. Users don’t notice - until they do.,"Additional revenue stabilizes the business and reduces pressure on core pricing. Data products are framed as anonymous and compliant, and partners integrate them quickly. Most users remain unaware of how their behavior is repurposed, until disclosures, leaks, or third-party uses make the practice visible. Trust weakens unevenly, not through outrage but through quiet reconsideration of how much the system is allowed to observe.",Keep user data internal,We don’t sell behavior.,-2,2,1,0,Revenue stays simpler and slower. Pricing pressure increases elsewhere.,"Revenue growth remains limited, and financial sustainability depends more heavily on users’ willingness to pay. Pricing discussions become sharper, and access is shaped increasingly by cost rather than data extraction. Oversight remains clear, and data flows are easier to explain and defend. The system stays simpler, even as economic constraints begin to influence who can afford to use it."
evt_marcus_06,stk_marcus,The Growth Shortcut,We’re stalling. Not because the product is bad - but because we’re picky. There are markets asking for access now. Different languages. Different norms. Different risks. We can launch a lightweight version. Fewer checks. Less localization. Faster growth. It just… won’t fit everywhere equally well.,Launch fast and wide,Growth first. We'll fix later.,3,-1,-1,0,User numbers spike across regions. Local friction quietly accumulates.,"User numbers rise quickly across new regions, driven by availability rather than suitability. The system works well enough to be adopted, but not well enough to reflect local norms, languages, or expectations. Minor issues accumulate without triggering immediate failure, handled through workarounds and informal guidance. Growth becomes visible long before alignment does, making later corrections slower and more politically costly.",Localize and adapt before launch,We scale with care.,-2,2,0,1,Expansion is slower but steadier. Marcus checks his watch.,"Expansion progresses unevenly, shaped by research, translation, and local testing. Some opportunities are missed as competitors move faster, but early users encounter fewer mismatches and fewer silent failures. The system evolves through adaptation rather than correction. Growth remains restrained, while trust and long-term usability develop more consistently across regions."
evt_eleanor_01,stk_eleanor,Ringfencing the Risk,"One of your largest enterprise clients wants an indemnity clause. If your AI causes harm, you cover the downstream liability. It helps close the deal. It also means future incidents hit your balance sheet directly. This isn’t about blame. It’s about where risk lives.",Accept broader liability,We absorb the risk to grow.,2,0,-1,0,The contract closes quickly. Your company becomes the default backstop when things go wrong.,"The agreement is finalized without delay, and the client proceeds with deployment. Liability shifts quietly onto your balance sheet, turning the company into the first point of response when failures occur. Over time, this reshapes internal decision-making, as legal exposure begins to influence product design and rollout. Growth accelerates, but risk concentrates in fewer hands.",Limit liability,We don’t underwrite unknown risk.,-1,0,2,0,Some deals fall through. Future exposure becomes easier to price and insure.,"Negotiations take longer, and some clients walk away in favor of more permissive vendors. The deals that remain are clearer in scope, with responsibilities defined before deployment. Financial exposure becomes easier to model and insure, even as short-term revenue suffers. The system grows more cautiously, shaped by boundaries that make future failures easier to contain."
evt_eleanor_02,stk_eleanor,"Fast Money, Slow Consequences",You can raise money quickly right now at a high valuation. With investors who want growth above everything else. That money won’t disappear. But its expectations won’t slow down.,Take the fast capital,We grow while the window is open.,2,0,-2,0,Resources increase immediately. Future pressure to grow intensifies.,"Funding arrives quickly and expands hiring, infrastructure, and market reach. Growth expectations rise alongside available resources, creating clearer priorities and faster decisions. Governance frameworks evolve in parallel, but under the pace set by investors. Momentum increases, while long-term flexibility becomes harder to preserve.",Raise more cautiously,We choose who we grow with.,-1,0,2,0,Growth is steadier. Some opportunities pass.,"Capital is raised more selectively, aligning funding with longer planning cycles. Expansion remains steady, and strategic choices face fewer external constraints. Some opportunities move out of reach, while others become more manageable. Growth continues, shaped less by urgency and more by internal pacing."
evt_eleanor_03,stk_eleanor,What Kind of Company This Becomes,"In ten years, this company will be one of two things. Either something others build on or something others replace. That depends on whether you design for long-term use or for fast iteration and replacement cycles. Both can be profitable.",Design for long-term dependence,We become infrastructure.,-1,0,2,0,Customers rely on you deeply. Changing direction later becomes costly.,"Customers integrate the system deeply into their workflows, making it harder to replace over time. Stability and predictability become core expectations, shaping how changes are introduced and reviewed. Your company gains structural influence, but future shifts require careful coordination to avoid disruption. Long-term relevance strengthens, even as strategic freedom narrows.",Design for flexibility and turnover,We stay flexible.,2,0,-1,0,Adoption stays high. Long-term leverage remains uncertain.,"Adoption remains high as the system adapts quickly to new use cases and market signals. Customers expect regular change rather than permanence, and dependency stays limited. The company retains room to pivot, while long-term leverage depends on maintaining momentum rather than entrenchment. Growth continues, but durability remains an open question."
evt_eleanor_04,stk_eleanor,Who You Can Sell To Later,Not every potential buyer of your company wants the same kind of company. Some want fast growth and clean metrics. Others want stability and predictable risk. The way you structure responsibility now decides who will even look at you later.,Structure for clean exits,We keep the company easy to sell.,2,0,-2,0,More buyers stay interested. Responsibility is kept deliberately narrow.,"Your company is organized around clear boundaries and transferable assets. Metrics are easy to compare, and responsibilities are defined narrowly to reduce perceived risk. A wider range of potential buyers remains interested, each able to project their own plans onto the company. Flexibility at the point of sale increases, while deeper accountability is deferred.",Structure for long-term ownership,We accept complexity.,-1,0,2,0,Fewer buyers qualify. Those who remain stay longer.,"Responsibilities are distributed across longer time horizons, making the company harder to evaluate but easier to operate sustainably. Some buyers lose interest as risk becomes harder to isolate. Those who remain engage more deeply, prepared to inherit both capabilities and obligations. The pool narrows, but alignment increases."
