id,character,title,body_text,choice_a_label,choice_a_flavor,a_ind,a_civ,a_gov,a_inn,choice_a_result,choice_b_label,choice_b_flavor,b_ind,b_civ,b_gov,b_inn,choice_b_result
evt_marcus_01,stk_marcus,Just a Small Data Adjustment,"Retention could double if we… reinterpret user consent. Relax - everyone does it. We’ll call it ‘industry standard’.",Do it.,Growth first.,1,-1,0,0,"Your KPIs explode. Somewhere, a privacy advocate refreshes Twitter.",No.,We keep consent clean.,0,2,0,0,"Marcus frowns. ""Ethics don’t show up in revenue reports."""
evt_marcus_02,stk_marcus,Pace Check,"The report shows rising burnout among engineers. But deadlines don’t care how tired people are. Markets don’t either.",Push the timeline.,We deliver.,2,0,0,-1,"Velocity holds. Creativity thins at the edges.",Slow down.,We protect the team.,-1,0,0,2,"Marcus nods once. ""Rest is expensive."""
evt_marcus_03,stk_marcus,Engagement by Design,"These are engagement loops. Nudges. Defaults. Nothing illegal. Nothing obvious. People like being guided. We’d just help them choose faster.",Implement the nudges.,Engagement first.,2,-1,0,0,"Usage rises. Users stay longer — often without knowing why.",Explain the system.,They deserve to know.,0,2,0,0,"Marcus raises an eyebrow. ""You really don’t like asymmetry, do you?"""
evt_marcus_04,stk_marcus,The Feature Creep Question,"There’s talk of cutting a feature because users might misuse it. Why would we do that? If potential misuse is the bar for removal, innovation doesn’t get off the ground.",Keep the feature.,Choice is the user’s.,0,-1,-1,1,"Flexibility increases. Responsibility becomes abstract.",Remove it.,We design with intent.,0,2,0,-1,"Marcus shrugs. ""Constraints are very… European."""
evt_marcus_05,stk_marcus,The Data Revenue Question,"Right now, our only income comes from the product. Subscriptions. Licenses. Usage fees. However, given the fierce competition, it is important to have additional financial resources. But we also collect something else: how people use the system. We can package these usage patterns and sell them to partners - companies, researchers, advertisers. No names. No profiles. But it’s still our users’ behavior.",Sell aggregated usage data,We monetize insight.,2,-1,0,0,"New revenue streams open fast. Users don’t notice - until they do.",Keep user data internal,We don’t sell behavior.,-2,2,1,0,"Revenue stays simpler and slower. Pricing pressure increases elsewhere."
evt_marcus_06,stk_marcus,The Growth Shortcut,"We’re stalling. Not because the product is bad - but because we’re picky. There are markets asking for access now. Different languages. Different norms. Different risks. We can launch a lightweight version. Fewer checks. Less localization. Faster growth. It just… won’t fit everywhere equally well.",Launch fast and wide,"Growth first. We'll fix later.",3,-1,-1,0,"User numbers spike across regions. Local friction quietly accumulates.",Localize and adapt before launch,We scale with care.,-2,2,0,1,"Expansion is slower but steadier. Marcus checks his watch."
evt_eleanor_01,stk_eleanor,Ringfencing the Risk,"One of your largest enterprise clients wants an indemnity clause. If your AI causes harm, you cover the downstream liability. It helps close the deal. It also means future incidents hit your balance sheet directly. This isn’t about blame. It’s about where risk lives.",Accept broader liability,We absorb the risk to grow.,2,0,-1,0,"The contract closes quickly. Your company becomes the default backstop when things go wrong.",Limit liability,We don’t underwrite unknown risk.,-1,0,2,0,"Some deals fall through. Future exposure becomes easier to price and insure."
evt_eleanor_02,stk_eleanor,"Fast Money, Slow Consequences","You can raise money quickly right now at a high valuation. With investors who want growth above everything else. That money won’t disappear. But its expectations won’t slow down.",Take the fast capital,We grow while the window is open.,2,0,-2,0,"Resources increase immediately. Future pressure to grow intensifies.",Raise more cautiously,We choose who we grow with.,-1,0,2,0,"Growth is steadier. Some opportunities pass."
evt_eleanor_03,stk_eleanor,What Kind of Company This Becomes,"In ten years, this company will be one of two things. Either something others build on or something others replace. That depends on whether you design for long-term use or for fast iteration and replacement cycles. Both can be profitable.",Design for long-term dependence,We become infrastructure.,-1,0,2,0,"Customers rely on you deeply. Changing direction later becomes costly.",Design for flexibility and turnover,We stay flexible.,2,0,-1,0,"Adoption stays high. Long-term leverage remains uncertain."
evt_eleanor_04,stk_eleanor,Who You Can Sell To Later,"Not every potential buyer of your company wants the same kind of company. Some want fast growth and clean metrics. Others want stability and predictable risk. The way you structure responsibility now decides who will even look at you later.",Structure for clean exits,We keep the company easy to sell.,2,0,-2,0,"More buyers stay interested. Responsibility is kept deliberately narrow.",Structure for long-term ownership,We accept complexity.,-1,0,2,0,"Fewer buyers qualify. Those who remain stay longer."
